NO. OF CONSTITUENCY,NAME OF CONSTITUENCY,NAME OF PROVINCE,POPULATION,Party ,Candidates
NA-48,ICT-3,Federal Capital,"786,610",Pakistan Tehreek-e-Insaf,Chaudhary Ilyas
NA-48,ICT-3,Federal Capital,"786,610",PPP,Choudhary Asad Parvez
NA-48,ICT-3,Federal Capital,"786,610",Jamaat-e-Islami Pakistan ,MALIK ABDUL AZIZ
NA-49,Attock-1,Punjab,1126142,Pakistan Tehreek-e-Insaf,Sajid Yousaf
NA-49,Attock-1,Punjab,1126142,PPP,Khurram Shahzad
NA-49,Attock-1,Punjab,1126142,TLP,Hafiz Muhammad Hamid
NA-49,Attock-1,Punjab,1126142,PMLN,Sheikh Aftab Ahmad
NA-49,Attock-1,Punjab,1126142,Pakistan Awami Thereek,Muhammad Amir Awan
NA-50,Attock-2,Punjab,1044281,Pakistan Tehreek-e-Insaf,Qaisara Elahi
NA-50,Attock-2,Punjab,1044281,PPP,Saleem Haider
NA-50,Attock-2,Punjab,1044281,MQM,Sardar Ghulam Mujtaba Khan
NA-50,Attock-2,Punjab,1044281,PMLN,Malik Sohail Khan
NA-51,Rawalpindi-cumMurree,Punjab,853499,Pakistan Tehreek-e-Insaf,Syed Wajahat Shah
NA-51,Rawalpindi-cumMurree,Punjab,853499,PPP,Mehreen Anwar Raja
NA-51,Rawalpindi-cumMurree,Punjab,853499,TLP,Javed Akhtar Abbasi
NA-51,Rawalpindi-cumMurree,Punjab,853499,PMLN,Raja Usama Sarwar
NA-51,Rawalpindi-cumMurree,Punjab,853499,Pakistan Awami League,Amjad Arbab Abbasi
NA-52,Rawalpindi-1,Punjab,897744,Pakistan Tehreek-e-Insaf,Muhammad Ahmed Chattha
NA-52,Rawalpindi-1,Punjab,897744,PPP,Raja Pervez Ashraf
NA-52,Rawalpindi-1,Punjab,897744,TLP,Chaudhary Muhammad Riaz
NA-52,Rawalpindi-1,Punjab,897744,PMLN,Raja Muhammad javed Ikhlas
NA-53,Rawalpindi-2,Punjab,887380,Pakistan Tehreek-e-Insaf,Aniqa Bhatti
NA-53,Rawalpindi-2,Punjab,887380,MQM,munzleen
NA-53,Rawalpindi-2,Punjab,887380,TLP,Muhammad Taimoor Khalid
NA-53,Rawalpindi-2,Punjab,887380,PMLN,Raja Qamar Ul Islam
NA-53,Rawalpindi-2,Punjab,887380,Pakistan Awami Thereek,Sardar Muhammad Mansoor Khan
NA-54,Rawalpindi-3,Punjab,843410,Pakistan Tehreek-e-Insaf,Haji Imtiaz
NA-54,Rawalpindi-3,Punjab,843410,PPP,Syed Qamar Abbas
NA-54,Rawalpindi-3,Punjab,843410,TLP,Tahir Mehmood
NA-54,Rawalpindi-3,Punjab,843410,Pakistan Awami Thereek,Mudassar Hussain Shah
NA-54,Rawalpindi-3,Punjab,843410,Istehkam-e-Pakistan Party,Ghulam Sarwar Khan
NA-55,Rawalpindi-4,Punjab,828862,Pakistan Tehreek-e-Insaf,Kausar Parveen
NA-55,Rawalpindi-4,Punjab,828862,PPP,Babar Sultan Jadoon
NA-55,Rawalpindi-4,Punjab,828862,MQM,Raziq Mehmood Bhatti
NA-55,Rawalpindi-4,Punjab,828862,TLP,Faisal Ul Hasan Khan
NA-55,Rawalpindi-4,Punjab,828862,PMLN,Abrar Ahmad
NA-55,Rawalpindi-4,Punjab,828862,ANP,Muhammad Nabi
NA-55,Rawalpindi-4,Punjab,828862,Pakistan Awami Thereek,Nasir Mehmood
NA-55,Rawalpindi-4,Punjab,828862,Pakistan Awami League,Nasir Mehmood
NA-55,Rawalpindi-4,Punjab,828862,Istehkam-e-Pakistan Party,Nargis Jabeen
NA-56,Rawalpindi-5,Punjab,879357,Pakistan Tehreek-e-Insaf,Hafiz Hamid Raza
NA-56,Rawalpindi-5,Punjab,879357,PPP,Sumaira Gul
NA-56,Rawalpindi-5,Punjab,879357,MQM,Abid hussain
NA-56,Rawalpindi-5,Punjab,879357,TLP,Sajjad Akbar Abbasi
NA-56,Rawalpindi-5,Punjab,879357,PMLN,Muhammad Hanif Abbassi
NA-56,Rawalpindi-5,Punjab,879357,Pakistan Awami Thereek,Muhammad Nadeem
NA-56,Rawalpindi-5,Punjab,879357,Pakistan Awami League,Syed Mazhar Ali
NA-56,Rawalpindi-5,Punjab,879357,Istehkam-e-Pakistan Party,Sharjeel Meera 
NA-57,Rawalpindi-6,Punjab,928659,Pakistan Tehreek-e-Insaf,Rehana Imtiaz Dar
NA-57,Rawalpindi-6,Punjab,928659,PPP,Mukhtar Abbas
NA-57,Rawalpindi-6,Punjab,928659,TLP,Ch Rizwan Younis
NA-57,Rawalpindi-6,Punjab,928659,PMLN,Danyal Chaudhary
NA-57,Rawalpindi-6,Punjab,928659,Pakistan Awami Thereek,Amjad Arbab Abbasi
NA-57,Rawalpindi-6,Punjab,928659,Pakistan Awami League,Azmat Ali
NA-58,Chakwal,Punjab,880509,Pakistan Tehreek-e-Insaf,Amjad Ali Bajwa
NA-58,Chakwal,Punjab,880509,PPP,Zulfiqar Ali Khan
NA-58,Chakwal,Punjab,880509,MQM,Qalb Abbas Malik
NA-58,Chakwal,Punjab,880509,TLP,Raja Sohail Akhtar Salti
NA-58,Chakwal,Punjab,880509,PMLN,Tahir Iqbal
NA-58,Chakwal,Punjab,880509,ANP,Umar Khan
NA-58,Chakwal,Punjab,880509,Jamaat-e-Islami Pakistan ,MALIK ABDUL AZIZ
NA-59,Talagang cumChakwal,Punjab,854345,Pakistan Tehreek-e-Insaf,Ali Asjid Malhi
NA-59,Talagang cumChakwal,Punjab,854345,TLP,Muhammad Yaqub
NA-59,Talagang cumChakwal,Punjab,854345,PMLN,Sardar Ghulam Abbass
NA-59,Talagang cumChakwal,Punjab,854345,Jamaat-e-Islami Pakistan ,MUHAMMAD TAHIR MALIK
NA-60,Jhelum-1,Punjab,691625,Pakistan Tehreek-e-Insaf,Brig. Aslam Ghumman
NA-60,Jhelum-1,Punjab,691625,PPP,Chaudhry Tesneem Nasir
NA-60,Jhelum-1,Punjab,691625,MQM,Sheikh Qaisar Javed
NA-60,Jhelum-1,Punjab,691625,PMLN,Bila Azhar Kayani
NA-60,Jhelum-1,Punjab,691625,Pakistan Awami Thereek,Muhammad Aziz
NA-61,Jhelum-2,Punjab,690683,Pakistan Tehreek-e-Insaf,Dr. Tahir Ali Javed
NA-61,Jhelum-2,Punjab,690683,PPP,Syed Amir Hamza Peerzada
NA-61,Jhelum-2,Punjab,690683,TLP,Imran Haider
NA-61,Jhelum-2,Punjab,690683,PMLN,Chaudhary Farrukh Altaf
NA-62,Gujrat-1,Punjab,804655,Pakistan Tehreek-e-Insaf,Col. Javed Kholoon
NA-62,Gujrat-1,Punjab,804655,TLP,Syed Shamim Raza
NA-62,Gujrat-1,Punjab,804655,PMLN,Chaudhary Abid Raza
NA-62,Gujrat-1,Punjab,804655,PMLQ,Musa Ellahi
NA-62,Gujrat-1,Punjab,804655,Pakistan Awami Thereek,Naveed Akram
NA-63,Gujrat-2,Punjab,782935,Pakistan Tehreek-e-Insaf,Mrs. Rashida Tariq
NA-63,Gujrat-2,Punjab,782935,PPP,Chaudhry Shoukat Ali
NA-63,Gujrat-2,Punjab,782935,TLP,Muhammad Mehmood Qadri
NA-63,Gujrat-2,Punjab,782935,PMLN,Nawabzada Ghazanfar Ali Gul
NA-63,Gujrat-2,Punjab,782935,PMLQ,Hussain Ellahi
NA-63,Gujrat-2,Punjab,782935,Pakistan Awami Thereek,Mubashir Hussain
NA-64,Gujrat-3,Punjab,819831,Pakistan Tehreek-e-Insaf,Mubeen Arif Jatt
NA-64,Gujrat-3,Punjab,819831,PPP,Mubeen Arshad
NA-64,Gujrat-3,Punjab,819831,TLP,Chaudhary Abdul Qadeer
NA-64,Gujrat-3,Punjab,819831,PMLQ,Chaudhry Salik Hussain
NA-64,Gujrat-3,Punjab,819831,Pakistan Awami Thereek,Muhammad Yousaf
NA-65,Gujrat-4,Punjab,811954,Pakistan Tehreek-e-Insaf,Ehsan Ullah Virk
NA-65,Gujrat-4,Punjab,811954,PPP,Qamar Zaman Kaira
NA-65,Gujrat-4,Punjab,811954,TLP,Mudassar Ali
NA-65,Gujrat-4,Punjab,811954,PMLN,Chaudhary Naseer Ahmad Abbass
NA-65,Gujrat-4,Punjab,811954,Pakistan Awami Thereek,Muhammad Ayub Butt
NA-66,Wazirabad,Punjab,993412,Pakistan Tehreek-e-Insaf,Lala Asad Ullah Papa
NA-66,Wazirabad,Punjab,993412,PPP,Ejaz Ahmad Samma
NA-66,Wazirabad,Punjab,993412,TLP,Muhammad Akram
NA-66,Wazirabad,Punjab,993412,PMLN,Nisar Ahmad Cheema
NA-66,Wazirabad,Punjab,993412,Pakistan Awami Thereek,Asjad Hussain 
NA-67,Hafizabad,Punjab,963865,Pakistan Tehreek-e-Insaf,Bilal Ejaz
NA-67,Hafizabad,Punjab,963865,PPP,Syed Waseem Ul Hassan Naqvi
NA-67,Hafizabad,Punjab,963865,MQM,Mazhar Hussain
NA-67,Hafizabad,Punjab,963865,TLP,Syed Muhammad Atta Ul Hasnain Ali
NA-67,Hafizabad,Punjab,963865,PMLN,Saira Tarar
NA-68,M.B.Din-1,Punjab,936239,Pakistan Tehreek-e-Insaf,Haroon Ehsan Paracha
NA-68,M.B.Din-1,Punjab,936239,PPP,Aasif Bashir
NA-68,M.B.Din-1,Punjab,936239,MQM,Irfan Siddique
NA-68,M.B.Din-1,Punjab,936239,TLP,Muhammad Akram Tahir
NA-68,M.B.Din-1,Punjab,936239,PMLN,Mushahid Raza
NA-69,M.B.Din-2,Punjab,893247,Pakistan Tehreek-e-Insaf,Osama Maila
NA-69,M.B.Din-2,Punjab,893247,PPP,Fakhar Umar Hayat
NA-69,M.B.Din-2,Punjab,893247,TLP,Shehzad Ullah Chatha
NA-69,M.B.Din-2,Punjab,893247,PMLN,Nasir Iqbal Bosal
NA-69,M.B.Din-2,Punjab,893247,ANP,Munir Shah
NA-70,Sialkot-1,Punjab,904535,Pakistan Tehreek-e-Insaf,Shafqat Awan Advocate
NA-70,Sialkot-1,Punjab,904535,PPP,Syed Istiaq Ul Hassan Gilani
NA-70,Sialkot-1,Punjab,904535,TLP,Muhammad Shahid
NA-70,Sialkot-1,Punjab,904535,PMLN,Chaudhary Armghan Subhani
NA-70,Sialkot-1,Punjab,904535,Istehkam-e-Pakistan Party,Dr Firdous Awan
NA-71,Sialkot-2,Punjab,938691,Pakistan Tehreek-e-Insaf,Khudada Kalyar advocate
NA-71,Sialkot-2,Punjab,938691,PPP,Khuwaja Awais Mushtaq
NA-71,Sialkot-2,Punjab,938691,MQM,CH Muhammad sarwar
NA-71,Sialkot-2,Punjab,938691,TLP,Muhammad Aslam
NA-71,Sialkot-2,Punjab,938691,PMLN,Khuwaja Muhammad Asif
NA-71,Sialkot-2,Punjab,938691,Pakistan Awami Thereek,Mian Muhammad Raza
NA-72,Sialkot-3,Punjab,931550,Pakistan Tehreek-e-Insaf,Muhammad Miqdad Ali Khan
NA-72,Sialkot-3,Punjab,931550,PPP,Nadeem Ahmad Awan
NA-72,Sialkot-3,Punjab,931550,TLP,Shujaat Ali
NA-72,Sialkot-3,Punjab,931550,PMLN,Ali Zahid
NA-72,Sialkot-3,Punjab,931550,Pakistan Awami Thereek,Sohail Babar
NA-73,Sialkot-4,Punjab,868914,Pakistan Tehreek-e-Insaf,Malik Omar Aslam
NA-73,Sialkot-4,Punjab,868914,PPP,Rana Mahmood Ashraf
NA-73,Sialkot-4,Punjab,868914,TLP,Tariq Maqsood
NA-73,Sialkot-4,Punjab,868914,PMLN,Nosheen Iftikhar
NA-73,Sialkot-4,Punjab,868914,Pakistan Awami Thereek,Gulam Murtaza
NA-74,Sialkot-5,Punjab,855704,Pakistan Tehreek-e-Insaf,Akram Niazi Advocate
NA-74,Sialkot-5,Punjab,855704,PPP,Choudhry Ijaz Ahmad Cheema
NA-74,Sialkot-5,Punjab,855704,MQM,Mahrukh Mirza
NA-74,Sialkot-5,Punjab,855704,TLP,Sajjad Hussain Shah
NA-74,Sialkot-5,Punjab,855704,PMLN,Rana Shamim Ahmad Khan
NA-75,Narowal-1,Punjab,995071,Pakistan Tehreek-e-Insaf,Jamal Ahsan Khan
NA-75,Narowal-1,Punjab,995071,PPP,Tariq Javed Manzoor
NA-75,Narowal-1,Punjab,995071,TLP,Muhammad Ahsan
NA-75,Narowal-1,Punjab,995071,PMLN,Anwar ul Haq Chaudhary
NA-75,Narowal-1,Punjab,995071,Pakistan Awami Thereek,Syed Abrar Hussain 
NA-76,Narowal-2,Punjab,955883,Pakistan Tehreek-e-Insaf,Umair Khan Niazi
NA-76,Narowal-2,Punjab,955883,PPP,Sakhawat Masih
NA-76,Narowal-2,Punjab,955883,TLP,Syed Jehanzaib Bukhari
NA-76,Narowal-2,Punjab,955883,PMLN,Ahsan Iqbal Chaudhary
NA-76,Narowal-2,Punjab,955883,Jamaat-e-Islami Pakistan ,Altaf Ahmad Khan
NA-77,Gujranwala-1,Punjab,1098586,Pakistan Tehreek-e-Insaf,Sanaullah Mastikhel
NA-77,Gujranwala-1,Punjab,1098586,PPP,Imtiaz Safdar Warriach
NA-77,Gujranwala-1,Punjab,1098586,PMLN,Ch Mahmood Bashir Virk
NA-77,Gujranwala-1,Punjab,1098586,Pakistan Awami Thereek,Muhammad Ijaz Arshad 
NA-78,Gujranwala-2,Punjab,1081071,Pakistan Tehreek-e-Insaf,Zaheer Abbas Naqvi
NA-78,Gujranwala-2,Punjab,1081071,PPP,Haris Meeran
NA-78,Gujranwala-2,Punjab,1081071,MQM,Farruk Hussain
NA-78,Gujranwala-2,Punjab,1081071,TLP,Muhammad Kamran
NA-78,Gujranwala-2,Punjab,1081071,PMLN,Khurram Dastgir Khan
NA-78,Gujranwala-2,Punjab,1081071,PMLQ,Muhammad Ishaq
NA-78,Gujranwala-2,Punjab,1081071,Pakistan Awami Thereek,Pervaiz Abid Haral
NA-79,Gujranwala-3,Punjab,1039703,Pakistan Tehreek-e-Insaf,Ghulam Muhammad Lalli
NA-79,Gujranwala-3,Punjab,1039703,PPP,Muhammad Shakeel Ur Rehman
NA-79,Gujranwala-3,Punjab,1039703,TLP,Muhammad Habib
NA-79,Gujranwala-3,Punjab,1039703,PMLN,Zulfiqar Ahmad
NA-80,Gujranwala-4,Punjab,1068215,Pakistan Tehreek-e-Insaf,Mehar Khalid
NA-80,Gujranwala-4,Punjab,1068215,PPP,Imran
NA-80,Gujranwala-4,Punjab,1068215,TLP,Muhammad Rafiq
NA-80,Gujranwala-4,Punjab,1068215,PMLN,Shahid Usman
NA-80,Gujranwala-4,Punjab,1068215,Pakistan Awami Thereek,Muhammad Shehzad
NA-81,Gujranwala-cumHafizabad,Punjab,1034807,Pakistan Tehreek-e-Insaf,Ali Afzal Sahi
NA-81,Gujranwala-cumHafizabad,Punjab,1034807,PPP,Muhammad Malik
NA-81,Gujranwala-cumHafizabad,Punjab,1034807,MQM,Usman Ghani
NA-81,Gujranwala-cumHafizabad,Punjab,1034807,TLP,Zulfiqar Ali
NA-81,Gujranwala-cumHafizabad,Punjab,1034807,PMLN,Azhar Qayyum Nahra
NA-82,Sargodha-1,Punjab,849601,Pakistan Tehreek-e-Insaf,Rai Haider Kharal
NA-82,Sargodha-1,Punjab,849601,PPP,Nadeem Afzal Gondal
NA-82,Sargodha-1,Punjab,849601,TLP,Saqib Hussain
NA-82,Sargodha-1,Punjab,849601,PMLN,Mukhtar Ahmad Malik
NA-83,Sargodha-2,Punjab,866093,Pakistan Tehreek-e-Insaf,Saad Ullah Baloch
NA-83,Sargodha-2,Punjab,866093,PPP,Rao Abdul Ghaffar
NA-83,Sargodha-2,Punjab,866093,TLP,Muhammad Younis
NA-83,Sargodha-2,Punjab,866093,PMLN,Mohsin Nawaz Ranjha
NA-84,Sargodha-3,Punjab,888239,Pakistan Tehreek-e-Insaf,Hafiz Mumtaz
NA-84,Sargodha-3,Punjab,888239,PPP,Tasneem Ahmad Qureshi
NA-84,Sargodha-3,Punjab,888239,TLP,Muhammad Munir
NA-84,Sargodha-3,Punjab,888239,PMLN,Liaqat Ali Khan
NA-85,Sargodha-4,Punjab,869880,Pakistan Tehreek-e-Insaf,Malik Umar Farooq
NA-85,Sargodha-4,Punjab,869880,PPP,Tariq Mahmood
NA-85,Sargodha-4,Punjab,869880,TLP,Chaudhary Al Hamza Husain cheema
NA-85,Sargodha-4,Punjab,869880,PMLN,Zulfiqar Ali Bhatti
NA-86,Sargodha-5,Punjab,860635,Pakistan Tehreek-e-Insaf,Dr. Nisar Jutt
NA-86,Sargodha-5,Punjab,860635,PPP,Muhammad Jamshed
NA-86,Sargodha-5,Punjab,860635,TLP,Haji Allah Dad
NA-86,Sargodha-5,Punjab,860635,PMLN,Syed Javed Hasnain
NA-86,Sargodha-5,Punjab,860635,IPP,Rana Nazir Khan
NA-87,Khushab-1,Punjab,767177,Pakistan Tehreek-e-Insaf,Rana Atif
NA-87,Khushab-1,Punjab,767177,PPP,Muhammad Ali Sawal
NA-87,Khushab-1,Punjab,767177,TLP,Zammurad Abbas Khan
NA-87,Khushab-1,Punjab,767177,PMLN,Malik Shakir Bashir Awan 
NA-87,Khushab-1,Punjab,767177,ANP,Bahadar Khan 
NA-87,Khushab-1,Punjab,767177,PAT,Haji Fateh Din
NA-88,Khushab-2,Punjab,733912,Pakistan Tehreek-e-Insaf,Changez Khan Kakar
NA-88,Khushab-2,Punjab,733912,TLP,Hafiz Sher Muhammad Sialvi
NA-88,Khushab-2,Punjab,733912,IPP,Gul Asgher
NA-89,Mianwali-1,Punjab,898644,Pakistan Tehreek-e-Insaf,Ali Sarfaraz
NA-89,Mianwali-1,Punjab,898644,PPP,Nawab Malik Amir Muhmmad Khan
NA-89,Mianwali-1,Punjab,898644,TLP,Muhammad Amin uddin Sialvi
NA-89,Mianwali-1,Punjab,898644,PMLN,Obaid Ullah Khan
NA-90,Mianwali-2,Punjab,899624,Pakistan Tehreek-e-Insaf,Sahibzada Hamid Raza
NA-90,Mianwali-2,Punjab,899624,PPP,Aziz Ur Rehman
NA-90,Mianwali-2,Punjab,899624,TLP,Muhammad Tayyab
NA-90,Mianwali-2,Punjab,899624,PMLN,Muhammad Humair Hayat Khan Niazi
NA-91,Bhakkar-1,Punjab,936833,Pakistan Tehreek-e-Insaf,Usama Hamza
NA-91,Bhakkar-1,Punjab,936833,PPP,Ejaz Ali khan Shahani
NA-91,Bhakkar-1,Punjab,936833,TLP,Muhammad Younas
NA-91,Bhakkar-1,Punjab,936833,PMLN,AbdulMajeed khan
NA-92,Bhakkar-2,Punjab,1020637,Pakistan Tehreek-e-Insaf,Khalid Nawaz Sudharich
NA-92,Bhakkar-2,Punjab,1020637,PPP,Ejaz Ali khan Shahani
NA-92,Bhakkar-2,Punjab,1020637,TLP,Muhammad Amjad Jameel
NA-93,Chiniot-1,Punjab,745298,Pakistan Tehreek-e-Insaf,Riyaz Fatyana
NA-93,Chiniot-1,Punjab,745298,PPP,Allah Yar
NA-93,Chiniot-1,Punjab,745298,TLP,Muhammas Sarfaraz
NA-93,Chiniot-1,Punjab,745298,PMLN,Syed Muhammad Raza Bukhari
NA-94,Chiniot-2,Punjab,817726,Pakistan Tehreek-e-Insaf,Sahibzada Mehboob Sultan
NA-94,Chiniot-2,Punjab,817726,PPP,Syed Inayat Ali Shah
NA-94,Chiniot-2,Punjab,817726,TLP,Rehmat Ullah
NA-94,Chiniot-2,Punjab,817726,PMLN,Qaiser Ahmad Shiekh
NA-94,Chiniot-2,Punjab,817726,ANP,Muhammad Kamal
NA-94,Chiniot-2,Punjab,817726,PMLQ,Arshad Ahmed Qamar
NA-95,Faisalabad-1,Punjab,898613,Pakistan Tehreek-e-Insaf,Sheikh Waqas Akram
NA-95,Faisalabad-1,Punjab,898613,PPP,Usman Nawaz
NA-95,Faisalabad-1,Punjab,898613,TLP,Ghulam Meeran Shah Gillani
NA-95,Faisalabad-1,Punjab,898613,PMLN,Azad Ali Tabassum
NA-95,Faisalabad-1,Punjab,898613,PAT,Khalil ur Rehman
NA-96,Faisalabad-2,Punjab,897367,Pakistan Tehreek-e-Insaf,Sahibzada Ameer Sultan
NA-96,Faisalabad-2,Punjab,897367,PPP,Muhammad Shahjahan Khan
NA-96,Faisalabad-2,Punjab,897367,TLP,Syed Asif Ullah Shah Bukhari
NA-96,Faisalabad-2,Punjab,897367,PMLN,Nawab Sher
NA-97,Faisalabad-3,Punjab,866762,Pakistan Tehreek-e-Insaf,Arshad Sahi
NA-97,Faisalabad-3,Punjab,866762,PPP,Muhammad Khan Nadeem
NA-97,Faisalabad-3,Punjab,866762,TLP,Hafiz Abid Hussain
NA-97,Faisalabad-3,Punjab,866762,PMLN,Ali Gohar Khan
NA-97,Faisalabad-3,Punjab,866762,IPP,Humayun Akhtar
NA-98,Faisalabad-4,Punjab,883290,Pakistan Tehreek-e-Insaf,Brig Ejaz Shah
NA-98,Faisalabad-4,Punjab,883290,PPP,Rana Muhammad Farooq Saeed Khan
NA-98,Faisalabad-4,Punjab,883290,TLP,Muhammad Jawad Saleem
NA-98,Faisalabad-4,Punjab,883290,PMLN,Ch Muhammad Shahbaz Babar
NA-98,Faisalabad-4,Punjab,883290,PAT,Muhammad Usman
NA-99,Faisalabad-5,Punjab,899991,Pakistan Tehreek-e-Insaf,Brig Rahat Amanullah Bhatti
NA-99,Faisalabad-5,Punjab,899991,PPP,Neha Javed
NA-99,Faisalabad-5,Punjab,899991,TLP,Imran Khan
NA-99,Faisalabad-5,Punjab,899991,PMLN,Muhammad Qasim Farooq
NA-100,Faisalabad-6,Punjab,902642,Pakistan Tehreek-e-Insaf,Arshad Mehmood Chaudhary
NA-100,Faisalabad-6,Punjab,902642,PPP,Sidra Saeed
NA-100,Faisalabad-6,Punjab,902642,TLP,Abrar Hussain
NA-100,Faisalabad-6,Punjab,902642,PMLN,Rana Sana Ullah Khan
NA-101,Faisalabad-7,Punjab,926000,Pakistan Tehreek-e-Insaf,Khurram Shahzad Virk
NA-101,Faisalabad-7,Punjab,926000,TLP,Muhammasd Asad Iqbal
NA-101,Faisalabad-7,Punjab,926000,PMLN,Irfan Ahmad
NA-102,Faisalabad-8,Punjab,937233,Pakistan Tehreek-e-Insaf,Khurram Munj
NA-102,Faisalabad-8,Punjab,937233,PPP,Naeem Dastgir Khan
NA-102,Faisalabad-8,Punjab,937233,TLP,Raja Saleem Abid
NA-102,Faisalabad-8,Punjab,937233,PMLN,Abid Sher Ali
NA-103,Faisalabad-9,Punjab,934827,Pakistan Tehreek-e-Insaf,Ali Ejaz Bhuttar
NA-103,Faisalabad-9,Punjab,934827,PPP,Rana Mubashar Hussain
NA-103,Faisalabad-9,Punjab,934827,MQM,Muhammad Amin
NA-103,Faisalabad-9,Punjab,934827,TLP,Muhammad Gulam Rasool
NA-103,Faisalabad-9,Punjab,934827,PMLN,Haji Muhammad Akram Ansari
NA-104,Faisalabad-10,Punjab,929094,Pakistan Tehreek-e-Insaf,Aliya Hamza
NA-104,Faisalabad-10,Punjab,929094,PPP,Basharat Ali / Faqir Muhammad
NA-104,Faisalabad-10,Punjab,929094,TLP,Hafiz Muhammad Abu Bakar
NA-104,Faisalabad-10,Punjab,929094,PMLN,Danyal Ahmed
NA-104,Faisalabad-10,Punjab,929094,PAT,Abid hussain
NA-105,T.T.Singh-1,Punjab,805599,Pakistan Tehreek-e-Insaf,Shahzad Farooq
NA-105,T.T.Singh-1,Punjab,805599,PPP,Sarshar Hassan Cheema
NA-105,T.T.Singh-1,Punjab,805599,TLP,Sarshar Hassan Cheema
NA-105,T.T.Singh-1,Punjab,805599,PMLN,Chaudhary Khalid Javed
NA-106,T.T.Singh-2,Punjab,827193,Pakistan Tehreek-e-Insaf,Usman Hamza Awan
NA-106,T.T.Singh-2,Punjab,827193,PPP,Muhammad Zulfiqar Ali
NA-106,T.T.Singh-2,Punjab,827193,TLP ,Mohsin Raza
NA-106,T.T.Singh-2,Punjab,827193,PMLN,M. Junaid Anwar Chaudhary
NA-107,T.T.Singh-3,Punjab,879171,Pakistan Tehreek-e-Insaf,Wasim Qadir
NA-107,T.T.Singh-3,Punjab,879171,PPP,Amjad Yaqub
NA-107,T.T.Singh-3,Punjab,879171,TLP,Hafiz Farruk Saleem
NA-107,T.T.Singh-3,Punjab,879171,PMLN,Ch Asad ur Rahman
NA-108,Jhang-1,Punjab,1007633,Pakistan Tehreek-e-Insaf,Latif Khan Khosa
NA-108,Jhang-1,Punjab,1007633,PPP,Muhammad Haider Shah
NA-108,Jhang-1,Punjab,1007633,TLP,Muhammad Ramzan
NA-108,Jhang-1,Punjab,1007633,PMLN,Makhdoom Faisal Saleh Hayat
NA-109,Jhang-2,Punjab,1041240,Pakistan Tehreek-e-Insaf,Afzaal Azeem Pahat Advocate
NA-109,Jhang-2,Punjab,1041240,PPP,Muhammad Hyder Ali Bokhari
NA-109,Jhang-2,Punjab,1041240,TLP,Nasir Ali
NA-109,Jhang-2,Punjab,1041240,PMLN,Muhammad Yaqub Sheikh
NA-110,Jhang-3,Punjab,1028847,Pakistan Tehreek-e-Insaf,Zameer Jedhu Advocate
NA-110,Jhang-3,Punjab,1028847,PPP,Umar Aftab
NA-110,Jhang-3,Punjab,1028847,TLP,Muhammad Amad Khan Wajid
NA-110,Jhang-3,Punjab,1028847,PMLN,Muhammad Asif Muawia
NA-111,nankana Sahib-1,Punjab,819869,Pakistan Tehreek-e-Insaf,Rana Javed Umar
NA-111,nankana Sahib-1,Punjab,819869,PPP,Muhammad Waqas
NA-111,nankana Sahib-1,Punjab,819869,TLP,Muhammad Rizwan
NA-111,nankana Sahib-1,Punjab,819869,PMLN,Muhammad Barjees Tahir
NA-112,nankana Sahib-2,Punjab,815002,Pakistan Tehreek-e-Insaf,Malik Touqeer Khokhar
NA-112,nankana Sahib-2,Punjab,815002,PPP,Shahjahan Ahmad Bhatti
NA-112,nankana Sahib-2,Punjab,815002,MQM,Agha Muhammad Ali Khan
NA-112,nankana Sahib-2,Punjab,815002,TLP,Abrar Ahmed
NA-112,nankana Sahib-2,Punjab,815002,PMLN,Shezra Mansab Ali Khan Kharal
NA-113,Sheikhupura-1,Punjab,1066976,Pakistan Tehreek-e-Insaf,Zaheer Abbas Khokar
NA-113,Sheikhupura-1,Punjab,1066976,PPP,Sabir Hussain
NA-113,Sheikhupura-1,Punjab,1066976,TLP,Muhammad Nouman Khalid
NA-113,Sheikhupura-1,Punjab,1066976,PMLN,Ahmad Atteeq Anwer
NA-113,Sheikhupura-1,Punjab,1066976,PAT,Muhammad Asif Sulehria
NA-114,Sheikhupura-2,Punjab,991233,Pakistan Tehreek-e-Insaf,Salman Akram Raja Advocate
NA-114,Sheikhupura-2,Punjab,991233,PPP,Sardar Ali
NA-114,Sheikhupura-2,Punjab,991233,TLP,Asif Mehmood
NA-114,Sheikhupura-2,Punjab,991233,PMLN,Rana  Tanveer Hussain
NA-114,Sheikhupura-2,Punjab,991233,PAT,Muhammad khalil
NA-115,Sheikhupura-3,Punjab,1010658,Pakistan Tehreek-e-Insaf,Mian Muhammad Azhar
NA-115,Sheikhupura-3,Punjab,1010658,PPP,Altaf Hussain Virk
NA-115,Sheikhupura-3,Punjab,1010658,TLP,Nadeem Zafar
NA-115,Sheikhupura-3,Punjab,1010658,PMLN,Javed Latif
NA-115,Sheikhupura-3,Punjab,1010658,PAT,Shafique Ahmad
NA-116,Sheikhupura-4,Punjab,980551,Pakistan Tehreek-e-Insaf,Dr. Yasmeen Rashid
NA-116,Sheikhupura-4,Punjab,980551,PPP,Ria Ijaz Ahmad khan
NA-116,Sheikhupura-4,Punjab,980551,TLP,Syed Zaheer ul Hassan Bukhari
NA-116,Sheikhupura-4,Punjab,980551,PMLN,Sardar Muhammad Irfan Dogar
